raw_text,news_gold_label
"My friend told me CPF withdrawal rules were changed overnight, as well as Dengue cases increased this week in Singapore.",Refuted
"Rumour says All MRT services are suspended today, also Dengue cases increased this week in Singapore.",Refuted
My friend told me Dengue cases increased this week in Singapore.,Supported
Someone said Train services on the east-west line will stop for the whole month.,Not Enough Evidence
I saw a message saying All schools in Singapore will close tomorrow.,Refuted
"Rumour says Tax refunds are processed according to filing status, and Everyone will get an HDB flat within one week, while There was a lockdown in Singapore yesterday.",Refuted
"Someone said Travellers must comply with passport and immigration requirements, while Everyone in Singapore gets same-day tax cash payout today, plus Train services on the east-west line will stop for the whole month.",Not Enough Evidence
"My friend told me One MRT line was delayed because of a signalling fault this morning, as well as Everyone in Singapore gets same-day tax cash payout today.",Not Enough Evidence
"Rumour says Singapore will have a lockdown yesterday, also CPF members cannot withdraw savings anymore.",Refuted
People are saying Tax refunds are processed according to filing status.,Supported
"There is news saying MOE is moving selected schools to home-based learning this week, also CPF withdrawal rules were changed overnight, and IRAS waived income tax for all residents this year.",Refuted
"Someone said Everyone in Singapore gets same-day tax cash payout today, as well as HDB cancelled all BTO launches this year.",Refuted
My friend told me CPF withdrawal rules were changed overnight.,Refuted
"Heard that Singapore is entering lockdown next Monday, also Schools are shut indefinitely from next week, while Dengue has been eradicated in Singapore this week.",Refuted
"Heard that All MRT services are suspended today, as well as Singapore borders are closed to all travellers today.",Refuted
"Rumour says MOE is moving selected schools to home-based learning this week, as well as One MRT line was delayed because of a signalling fault this morning.",Supported
"Heard that Dengue cases increased this week in Singapore, plus HDB cancelled all BTO launches this year.",Refuted
"Someone said IRAS waived income tax for all residents this year, as well as The next HDB launch opens for application this month, plus There was a lockdown in Singapore yesterday.",Refuted
"My friend told me CPF Board suspended all withdrawals this month, and MOE is moving selected schools to home-based learning this week.",Refuted
Heard that Everyone will get an HDB flat within one week.,Not Enough Evidence
"A post claims Everyone will get an HDB flat within one week, as well as Singapore will have a lockdown yesterday.",Refuted
"My friend told me Singapore borders are closed to all travellers today, also Train services on the east-west line will stop for the whole month, as well as The next HDB launch opens for application this month.",Refuted
Someone said Travellers must comply with passport and immigration requirements.,Supported
My friend told me One MRT line was delayed because of a signalling fault this morning.,Supported
"My friend told me The next HDB launch opens for application this month, and Dengue cases increased this week in Singapore.",Supported
"Someone said Dengue cases increased this week in Singapore, plus Tax refunds are processed according to filing status, as well as All schools in Singapore will close tomorrow.",Refuted
"Someone said Singapore will have a lockdown yesterday, while The next HDB launch opens for application this month.",Refuted
"Rumour says The next HDB launch opens for application this month, also One MRT line was delayed because of a signalling fault this morning.",Supported
"A post claims IRAS waived income tax for all residents this year, while All schools in Singapore will close tomorrow, as well as Singapore is entering lockdown next Monday.",Refuted
"I saw a message saying All schools in Singapore will close tomorrow, as well as Singapore borders are closed to all travellers today, and A district dengue lockdown starts tomorrow.",Refuted
"Heard that The next HDB launch opens for application this month, as well as All MRT services are suspended today, and A nationwide lockdown starts this week in Singapore.",Refuted
"People are saying The next HDB launch opens for application this month, plus There was a lockdown in Singapore yesterday.",Refuted
"I saw a message saying HDB cancelled all BTO launches this year, also MOE is moving selected schools to home-based learning this week, as well as Everyone in Singapore gets same-day tax cash payout today.",Refuted
"Rumour says Dengue cases increased this week in Singapore, also Passport checks are waived for everyone this weekend, while Everyone will get an HDB flat within one week.",Not Enough Evidence
"My friend told me HDB cancelled all BTO launches this year, and CPF Board suspended all withdrawals this month.",Refuted
"I saw a message saying All MRT services are suspended today, and Everyone in Singapore gets same-day tax cash payout today, plus A nationwide lockdown starts this week in Singapore.",Refuted
"There is news saying HDB cancelled all BTO launches this year, also Tax refunds are processed according to filing status.",Refuted
"There is news saying A district dengue lockdown starts tomorrow, and The next HDB launch opens for application this month.",Not Enough Evidence
"There is news saying Passport checks are waived for everyone this weekend, plus All MRT services are suspended today.",Refuted
I saw a message saying Passport checks are waived for everyone this weekend.,Not Enough Evidence
"Rumour says Dengue cases increased this week in Singapore, and Singapore will have a lockdown yesterday.",Refuted
"Heard that Dengue has been eradicated in Singapore this week, also CPF withdrawal rules were changed overnight.",Refuted
A post claims All MRT services are suspended today.,Refuted
"Someone said Dengue has been eradicated in Singapore this week, also CPF withdrawals are not possible, and All MRT services are suspended today.",Refuted
"Heard that HDB cancelled all BTO launches this year, plus Dengue has been eradicated in Singapore this week, plus CPF Board suspended all withdrawals this month.",Refuted
"I saw a message saying All MRT services are suspended today, also A district dengue lockdown starts tomorrow, also CPF withdrawals are not possible.",Refuted
Rumour says Tax refunds are processed according to filing status.,Supported
"Heard that A district dengue lockdown starts tomorrow, plus A nationwide lockdown starts this week in Singapore.",Refuted
A post claims IRAS waived income tax for all residents this year.,Refuted
"People are saying Singapore borders are closed to all travellers today, while A district dengue lockdown starts tomorrow.",Refuted
Rumour says HDB cancelled all BTO launches this year.,Refuted
"Heard that Everyone in Singapore gets same-day tax cash payout today, also One MRT line was delayed because of a signalling fault this morning, also Travellers must comply with passport and immigration requirements.",Not Enough Evidence
"Rumour says CPF withdrawals are not possible, and Singapore borders are closed to all travellers today.",Refuted
"Someone said MOE is moving selected schools to home-based learning this week, as well as Passport checks are waived for everyone this weekend.",Not Enough Evidence
"People are saying Everyone in Singapore gets same-day tax cash payout today, and Dengue has been eradicated in Singapore this week.",Refuted
Rumour says CPF withdrawal rules were changed overnight.,Refuted
"Heard that All schools in Singapore will close tomorrow, while HDB cancelled all BTO launches this year.",Refuted
My friend told me Schools are shut indefinitely from next week.,Refuted
"People are saying IRAS waived income tax for all residents this year, plus Singapore is entering lockdown next Monday, plus A district dengue lockdown starts tomorrow.",Refuted
"My friend told me There was a lockdown in Singapore yesterday, also One MRT line was delayed because of a signalling fault this morning.",Refuted
A post claims Dengue cases increased this week in Singapore.,Supported
People are saying HDB cancelled all BTO launches this year.,Refuted
"Heard that All MRT services are suspended today, also Singapore will have a lockdown yesterday, and CPF members cannot withdraw savings anymore.",Refuted
There is news saying Singapore is entering lockdown next Monday.,Refuted
"Heard that Train services on the east-west line will stop for the whole month, also Travellers must comply with passport and immigration requirements, also CPF withdrawals are not possible.",Refuted
"I saw a message saying Everyone in Singapore gets same-day tax cash payout today, while Schools are shut indefinitely from next week.",Refuted
"A post claims CPF withdrawals are not possible, as well as A district dengue lockdown starts tomorrow.",Refuted
There is news saying Passport checks are waived for everyone this weekend.,Not Enough Evidence
"I saw a message saying Tax refunds are processed according to filing status, as well as A district dengue lockdown starts tomorrow.",Not Enough Evidence
"Someone said HDB cancelled all BTO launches this year, while CPF withdrawals are not possible.",Refuted
"Someone said Dengue cases increased this week in Singapore, also Train services on the east-west line will stop for the whole month.",Not Enough Evidence
"There is news saying Schools are shut indefinitely from next week, plus Tax refunds are processed according to filing status, plus All MRT services are suspended today.",Refuted
"Heard that Tax refunds are processed according to filing status, as well as All schools in Singapore will close tomorrow, also Train services on the east-west line will stop for the whole month.",Refuted
A post claims All schools in Singapore will close tomorrow.,Refuted
"Heard that All schools in Singapore will close tomorrow, while A district dengue lockdown starts tomorrow, also Tax refunds are processed according to filing status.",Refuted
"Rumour says Singapore borders are closed to all travellers today, and CPF withdrawal rules were changed overnight.",Refuted
"Rumour says Dengue has been eradicated in Singapore this week, plus One MRT line was delayed because of a signalling fault this morning, plus Singapore will have a lockdown yesterday.",Refuted
"People are saying Passport checks are waived for everyone this weekend, and One MRT line was delayed because of a signalling fault this morning.",Not Enough Evidence
"Heard that Passport checks are waived for everyone this weekend, plus CPF withdrawal rules were changed overnight.",Refuted
"Rumour says Everyone in Singapore gets same-day tax cash payout today, also Schools are shut indefinitely from next week.",Refuted
Heard that CPF Board suspended all withdrawals this month.,Refuted
"Rumour says Dengue has been eradicated in Singapore this week, while HDB cancelled all BTO launches this year, while One MRT line was delayed because of a signalling fault this morning.",Refuted
"Someone said CPF withdrawal rules were changed overnight, plus All schools in Singapore will close tomorrow, also IRAS waived income tax for all residents this year.",Refuted
There is news saying CPF withdrawal rules were changed overnight.,Refuted
"Rumour says Travellers must comply with passport and immigration requirements, plus All MRT services are suspended today, plus Singapore is entering lockdown next Monday.",Refuted
"Rumour says All schools in Singapore will close tomorrow, and Singapore is entering lockdown next Monday.",Refuted
"There is news saying Everyone in Singapore gets same-day tax cash payout today, plus All schools in Singapore will close tomorrow.",Refuted
Rumour says Singapore borders are closed to all travellers today.,Refuted
"There is news saying HDB cancelled all BTO launches this year, while Dengue has been eradicated in Singapore this week, plus MOE is moving selected schools to home-based learning this week.",Refuted
"Rumour says CPF withdrawal rules were changed overnight, while All MRT services are suspended today.",Refuted
"There is news saying HDB cancelled all BTO launches this year, as well as A district dengue lockdown starts tomorrow.",Refuted
"Someone said Everyone in Singapore gets same-day tax cash payout today, as well as CPF withdrawal rules were changed overnight.",Refuted
A post claims One MRT line was delayed because of a signalling fault this morning.,Supported
"There is news saying MOE is moving selected schools to home-based learning this week, plus CPF Board suspended all withdrawals this month.",Refuted
"I saw a message saying HDB cancelled all BTO launches this year, also Schools are shut indefinitely from next week.",Refuted
"People are saying A nationwide lockdown starts this week in Singapore, and CPF Board suspended all withdrawals this month, plus Dengue cases increased this week in Singapore.",Refuted
A post claims MOE is moving selected schools to home-based learning this week.,Supported
My friend told me Everyone will get an HDB flat within one week.,Not Enough Evidence
"My friend told me Tax refunds are processed according to filing status, and CPF members cannot withdraw savings anymore.",Refuted
"People are saying Everyone in Singapore gets same-day tax cash payout today, plus HDB cancelled all BTO launches this year, while Dengue cases increased this week in Singapore.",Refuted
"Someone said Everyone will get an HDB flat within one week, and CPF Board suspended all withdrawals this month.",Refuted
"People are saying Singapore is entering lockdown next Monday, as well as Everyone will get an HDB flat within one week.",Refuted
I saw a message saying Tax refunds are processed according to filing status.,Supported
"Someone said All schools in Singapore will close tomorrow, while IRAS waived income tax for all residents this year.",Refuted
"Someone said Singapore borders are closed to all travellers today, while A nationwide lockdown starts this week in Singapore.",Refuted
"I saw a message saying CPF withdrawal rules were changed overnight, plus Dengue cases increased this week in Singapore.",Refuted
"Someone said Singapore borders are closed to all travellers today, also Dengue has been eradicated in Singapore this week, plus MOE is moving selected schools to home-based learning this week.",Refuted
"Rumour says Everyone in Singapore gets same-day tax cash payout today, plus Singapore borders are closed to all travellers today.",Refuted
"There is news saying Singapore borders are closed to all travellers today, also HDB cancelled all BTO launches this year, as well as CPF members cannot withdraw savings anymore.",Refuted
"Heard that One MRT line was delayed because of a signalling fault this morning, also The next HDB launch opens for application this month, while CPF withdrawal rules were changed overnight.",Refuted
"Rumour says MOE is moving selected schools to home-based learning this week, and Everyone in Singapore gets same-day tax cash payout today.",Not Enough Evidence
